movie_title,original_title,type,description,content_rating,genres
Oldboy,Oldeuboi,movie,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",R,"['Korean', 'One-Person Army Action', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Action', 'Drama', 'Mystery', 'Thriller']"
3 Idiots,3 Idiots,movie,"Two friends search for a brilliant, free-spirited classmate whose unconventional approach to engineering school changed their lives and challenged a rigid education system.",PG-13,"['Hindi', 'Buddy Comedy', 'Coming-of-Age', 'Parody', 'Quirky Comedy', 'Satire', 'Comedy', 'Drama']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"When a rogue U.S. general orders an unauthorized nuclear attack on the Soviet Union, leaders in the War Room race to prevent global catastrophe.",PG,"['Dark Comedy', 'Farce', 'Parody', 'Political Drama', 'Psychological Drama', 'Quirky Comedy', 'Satire', 'Tragedy', 'Comedy', 'War']"
American Beauty,American Beauty,movie,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,R,"['Dark Comedy', 'Psychological Drama', 'Drama']"
Capernaum,Capharnaüm,movie,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R,"['Arabic', 'Coming-of-Age', 'Legal Drama', 'Psychological Drama', 'Drama']"
Singin' in the Rain,Singin' in the Rain,movie,"When Hollywood's silent era gives way to talkies, a dashing screen idol and a gifted newcomer navigate romance, rivalry, and the comic chaos of reinventing the movies.",G,"['Classic Musical', 'Feel-Good Romance', 'Jukebox Musical', 'Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Musical', 'Romance']"
Joker,Joker,movie,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",R,"['DC', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Drama']"
Once Upon a Time in America,C'era una volta in America,movie,"A former New York gangster returns after decades in exile, confronting the friendships, dreams, and regrets that shaped his rise from street kid to Prohibition-era mobster.",R,"['Dark Comedy', 'Epic', 'Gangster', 'Period Drama', 'Crime', 'Drama']"
Toy Story 3,Toy Story 3,movie,"As Andy prepares to leave for college, Woody, Buzz and the gang face an uncertain future when a mix-up sends them to a daycare center full of new toys.",G,"['Toy Story', 'Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,movie,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",PG,"['Star Wars', 'Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']"
Come and See,Idi i smotri,movie,"After finding a rifle, a Belarusian teenager joins Soviet partisans in World War II and is swept into the harrowing realities of Nazi occupation.",Not Rated,"['Russian', 'Epic', 'Period Drama', 'Psychological Drama', 'Psychological Thriller', 'Survival', 'Tragedy', 'War Epic', 'Drama', 'Thriller']"
Requiem for a Dream,Requiem for a Dream,movie,"Four Coney Island dreamers chase love, fame, and escape, but addiction and obsession begin to distort their hopes for a better life.",NC-17,"['Epic', 'Psychological Drama', 'Tragedy', 'Drama']"
Ikiru,Ikiru,movie,"An aging Tokyo bureaucrat, shaken by a grave diagnosis, breaks from his hollow routine and searches for meaning, connection, and one worthwhile act.",Not Rated,"['Japanese', 'Psychological Drama', 'Tragedy', 'Drama']"
The Hunt,Jagten,movie,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R,"['Danish', 'Psychological Drama', 'Tragedy', 'Drama']"
Incendies,Incendies,movie,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,R,"['French', 'Psychological Drama', 'Suspense Mystery', 'Drama', 'Mystery', 'War']"
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,movie,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",R,"['Dark Romance', 'Epic', 'Psychological Drama', 'Romantic Epic', 'Sci-Fi Epic', 'Drama', 'Romance', 'Sci-Fi']"
The Apartment,The Apartment,movie,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Approved,"['Dark Comedy', 'Farce', 'Feel-Good Romance', 'Holiday Comedy', 'Holiday Romance', 'Psychological Drama', 'Quirky Comedy', 'Romantic Comedy', 'Satire', 'Workplace Drama']"
Lawrence of Arabia,Lawrence of Arabia,movie,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Approved,"['Adventure Epic', 'Desert Adventure', 'Epic', 'Tragedy', 'War Epic', 'Adventure', 'Biography', 'Drama', 'War']"
Heat,Heat,movie,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,R,"['Action Epic', 'Cop Drama', 'Epic', 'Gangster', 'Heist', 'Police Procedural', 'Psychological Drama', 'True Crime', 'Action', 'Crime']"
Scarface,Scarface,movie,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",R,"['Drug Crime', 'Epic', 'Gangster', 'Crime', 'Drama']"
Reservoir Dogs,Reservoir Dogs,movie,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,"['Gangster', 'Heist', 'Psychological Thriller', 'Crime', 'Thriller']"
2001: A Space Odyssey,2001: A Space Odyssey,movie,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",G,"['Adventure Epic', 'Artificial Intelligence', 'Epic', 'Psychological Drama', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Sci-Fi']"
Up,Up,movie,A grumpy old man turns his house into an airship using balloons and flies off to South America with a young stowaway.,PG,"['Adventure Epic', 'Buddy Comedy', 'Coming-of-Age', 'Computer Animation', 'Epic', 'Globetrotting Adventure', 'High-Concept Comedy', 'Psychological Drama', 'Quest', 'Adventure']"
Double Indemnity,Double Indemnity,movie,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Approved,"['Film Noir', 'Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Thriller']"
North by Northwest,North by Northwest,movie,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Approved,"['Spy', 'Adventure', 'Drama', 'Mystery', 'Thriller']"
Like Stars on Earth,Taare Zameen Par,movie,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,PG,"['Hindi', 'Coming-of-Age', 'Psychological Drama', 'Drama', 'Family']"
Full Metal Jacket,Full Metal Jacket,movie,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,R,"['Dark Comedy', 'Period Drama', 'Psychological Drama', 'Drama', 'War']"
M,M - Eine Stadt sucht einen Mörder,movie,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Passed,"['German', 'Psychological Thriller', 'Serial Killer', 'Suspense Mystery', 'Crime', 'Mystery', 'Thriller']"
A Separation,Jodaeiye Nader az Simin,movie,A married couple have to decide whether to improve their daughter's life by moving abroad or to stay in Iran and look after a deteriorating parent with Alzheimer's disease.,PG-13,"['Persian', 'Legal Drama', 'Psychological Drama', 'Drama']"
Amélie,Le Fabuleux Destin d'Amélie Poulain,movie,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",R,"['French', 'Feel-Good Romance', 'Quirky Comedy', 'Romantic Comedy', 'Comedy', 'Romance']"
Vertigo,Vertigo,movie,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",PG,"['Conspiracy Thriller', 'Dark Romance', 'Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Tragic Romance', 'Mystery', 'Romance', 'Thriller']"
Citizen Kane,Citizen Kane,movie,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",PG,"['Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Drama', 'Mystery']"
Die Hard,Die Hard,movie,A New York City cop tries to save his wife and several others taken hostage by terrorists during a Christmas party in a Los Angeles skyscraper.,R,"['Dark Comedy', 'Disaster', 'One-Person Army Action', 'Action', 'Holiday', 'Thriller']"
To Kill a Mockingbird,To Kill a Mockingbird,movie,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Approved,"['Legal Drama', 'Period Drama', 'Psychological Drama', 'Crime', 'Drama']"
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,movie,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",PG-13,"['Indiana Jones', 'Action Epic', 'Adventure Epic', 'Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Adventure']"
The Sting,The Sting,movie,Two grifters team up to pull off the ultimate con.,PG,"['Caper', 'Gangster', 'Period Drama', 'Comedy', 'Crime', 'Drama']"
I Swear,I Swear,movie,"John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed.",R,"['Dark Comedy', 'Docudrama', 'Biography', 'Drama']"
A Clockwork Orange,A Clockwork Orange,movie,Alex DeLarge and his droogs barbarize a decaying near-future.,R,"['Dark Comedy', 'Dystopian Sci-Fi', 'Crime', 'Sci-Fi']"
Metropolis,Metropolis,movie,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Passed,"['German', 'Artificial Intelligence', 'Epic', 'Sci-Fi Epic', 'Steampunk', 'Drama', 'Sci-Fi']"
1917,1917,movie,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R,"['Epic', 'Period Drama', 'Survival', 'War Epic', 'Drama', 'War']"
Snatch,Snatch,movie,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,"['Caper', 'Dark Comedy', 'Farce', 'Gangster', 'Comedy', 'Crime']"
The Wolf of Wall Street,The Wolf of Wall Street,movie,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R,"['Dark Comedy', 'Docudrama', 'Epic', 'Financial Drama', 'Raunchy Comedy', 'Satire', 'True Crime', 'Workplace Drama', 'Biography', 'Comedy']"
The Truman Show,The Truman Show,movie,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,PG,"['Dark Comedy', 'High-Concept Comedy', 'Psychological Drama', 'Satire', 'Showbiz Drama', 'Comedy', 'Drama']"
Downfall,Der Untergang,movie,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R,"['German', 'Docudrama', 'Period Drama', 'Political Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama', 'History', 'War']"
L.A. Confidential,L.A. Confidential,movie,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",R,"['Conspiracy Thriller', 'Cop Drama', 'Epic', 'Hard-boiled Detective', 'Period Drama', 'Police Procedural', 'Suspense Mystery', 'Whodunnit', 'Crime', 'Drama']"
Dangal,Dangal,movie,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Not Rated,"['Hindi', 'Coming-of-Age', 'Martial Arts', 'Action', 'Biography', 'Drama', 'Sport']"
Shutter Island,Shutter Island,movie,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,R,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
Bicycle Thieves,Ladri di biciclette,movie,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Not Rated,"['Italian', 'Financial Drama', 'Psychological Drama', 'Quest', 'Tragedy', 'Drama']"
Green Book,Green Book,movie,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,PG-13,"['Docudrama', 'Period Drama', 'Road Trip', 'Biography', 'Comedy', 'Drama', 'Holiday', 'Music']"
Attack on Titan: The Last Attack,Shingeki no Kyojin: The Last Attack,movie,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",,"['Japanese', 'Action Epic', 'Adult Animation', 'Adventure Epic', 'Anime', 'Body Horror', 'Hand-Drawn Animation', 'Shōnen', 'Action', 'Adventure']"
Oppenheimer,Oppenheimer,movie,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",R,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History']"
Judgment at Nuremberg,Judgment at Nuremberg,movie,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Approved,"['Epic', 'Historical Epic', 'Legal Drama', 'Psychological Drama', 'Drama', 'History', 'War']"
Batman Begins,Batman Begins,movie,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",PG-13,"['DC', 'Action Epic', 'Epic', 'Psychological Drama', 'Superhero', 'Crime']"
Jurassic Park,Jurassic Park,movie,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",PG-13,"['Jurassic Park', 'Dinosaur Adventure', 'Jungle Adventure', 'Adventure', 'Sci-Fi']"
Project Hail Mary,Project Hail Mary,movie,"A science teacher wakes up alone on a spaceship. As his memory returns, he uncovers a mission to stop a mysterious substance killing Earth's sun, and realizes that an unexpected friendship may be the key.",PG-13,"['Adventure Epic', 'Buddy Comedy', 'Dark Comedy', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']"
Hamilton,Hamilton,movie,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,"['Epic', 'Historical Epic', 'Biography', 'Drama', 'History', 'Musical']"
For a Few Dollars More,Per qualche dollaro in più,movie,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,R,"['Period Drama', 'Quest', 'Spaghetti Western', 'Drama', 'Western']"
Taxi Driver,Taxi Driver,movie,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",R,"['Psychological Drama', 'Crime', 'Drama']"
Some Like It Hot,Some Like It Hot,movie,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Approved,"['Buddy Comedy', 'Farce', 'Romantic Comedy', 'Satire', 'Screwball Comedy', 'Comedy', 'Music', 'Romance']"
There Will Be Blood,There Will Be Blood,movie,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R,"['Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Drama']"
The Father,The Father,movie,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,"['Psychological Drama', 'Drama', 'Mystery']"
The Kid,The Kid,movie,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Passed,"['Buddy Comedy', 'Coming-of-Age', 'Farce', 'Slapstick', 'Tragedy', 'Comedy', 'Drama', 'Family']"
All About Eve,All About Eve,movie,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Approved,"['Showbiz Drama', 'Drama']"
The Sixth Sense,The Sixth Sense,movie,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",PG-13,"['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
Ran,Ran,movie,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",R,"['Japanese', 'Epic', 'Period Drama', 'Samurai', 'Tragedy', 'War Epic', 'Action', 'Drama', 'War']"
Casino,Casino,movie,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",R,"['Docudrama', 'Epic', 'Gangster', 'Period Drama', 'True Crime', 'Crime', 'Drama']"
The Thing,The Thing,movie,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,R,"['Alien Invasion', 'Body Horror', 'Monster Horror', 'Psychological Horror', 'Splatter Horror', 'Supernatural Horror', 'Suspense Mystery', 'Tragedy', 'Horror', 'Mystery']"
No Country for Old Men,No Country for Old Men,movie,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,R,"['Contemporary Western', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Thriller']"
Prisoners,Prisoners,movie,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,R,"['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Top Gun: Maverick,Top Gun: Maverick,movie,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",PG-13,"['Action Epic', 'Adventure Epic', 'Epic', 'Action', 'Drama']"
Kill Bill: Vol. 1,Kill Bill: Vol. 1,movie,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",R,"['Kung Fu', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']"
Pan's Labyrinth,El laberinto del fauno,movie,"In 1944 Francoist Spain, an imaginative young girl meets a faun who tells her she's a princess and that she must prove her worthiness by completing three dangerous tasks.",R,"['Spanish', 'Coming-of-Age', 'Dark Fantasy', 'Fairy Tale', 'Period Drama', 'Supernatural Fantasy', 'Teen Fantasy', 'Tragedy', 'Drama', 'Fantasy']"
Unforgiven,Unforgiven,movie,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",R,"['Classical Western', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Western Epic', 'Drama', 'Western']"
A Beautiful Mind,A Beautiful Mind,movie,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But Nash soon found himself on a harrowing journey of self-discovery.",PG-13,"['Docudrama', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'Mystery']"
Howl's Moving Castle,Hauru no ugoku shiro,movie,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,"['Japanese', 'Adventure Epic', 'Anime', 'Epic', 'Fantasy Epic', 'Hand-Drawn Animation', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Family']"
The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,movie,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Approved,"['Tragedy', 'Adventure', 'Drama', 'Western']"
Finding Nemo,Finding Nemo,movie,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",G,"['Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Quest', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family']"
Klaus,Klaus,movie,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",PG,"['Hand-Drawn Animation', 'Holiday Animation', 'Holiday Comedy', 'Holiday Family', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Holiday']"
Yojimbo,Yôjinbô,movie,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Not Rated,"['Japanese', 'One-Person Army Action', 'Period Drama', 'Psychological Thriller', 'Samurai', 'Action', 'Drama', 'Thriller']"
The Elephant Man,The Elephant Man,movie,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",PG,"['Docudrama', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama']"
The Great Escape,The Great Escape,movie,Allied officers in a German POW camp during World War II make a daring plan for a mass escape.,Approved,"['Epic', 'Period Drama', 'Prison Drama', 'War Epic', 'Adventure', 'Drama', 'Thriller', 'War']"
Demon Slayer: Kimetsu No Yaiba Infinity Castle,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,movie,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",R,"['Japanese', 'Adult Animation', 'Anime', 'Dark Fantasy', 'Hand-Drawn Animation', 'Shōnen', 'Supernatural Fantasy', 'Sword & Sorcery', 'Action', 'Adventure']"
Monty Python and the Holy Grail,Monty Python and the Holy Grail,movie,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",PG,"['Farce', 'Parody', 'Quest', 'Satire', 'Sketch Comedy', 'Slapstick', 'Sword & Sorcery', 'Adventure', 'Comedy', 'Fantasy']"
Dial M for Murder,Dial M for Murder,movie,"A London playboy plots the perfect murder of his rich, unfaithful wife.",PG,"['Crime', 'Drama', 'Mystery', 'Thriller']"
